year,time
1966,201.6666667
1967,207.2833333
1968,210
1969,202.7666667
1970,185.1166667
1971,188.5
1972,190.4333333
1973,185.9833333
1974,167.1833333
1975,162.4
1976,167.1666667
1977,168.55
1978,164.8666667
1979,155.25
1980,154.4666667
1981,146.7666667
1982,149.55
1983,142.7166667
1984,149.4666667
1985,154.1
1986,144.9166667
1987,145.35
1988,144.5
1989,144.55
1990,145.4
1991,144.3
1992,143.7166667
1993,145.45
1994,141.75
1995,145.1833333
1996,147.2
1997,146.3833333
1998,143.35
1999,143.4166667
2000,146.1833333
2001,143.8833333
2002,140.7166667
2003,145.3166667
2004,144.45
2005,145.2
2006,143.6333333
2007,149.3
2008,145.4166667
2009,152.2666667
2010,146.1833333
2011,142.6
2012,151.8333333
2013,146.4166667
2014,138.95
2014,139.9833333
2015,144.9166667
2016,149.3166667
2017,141.8666667
